overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
187,Tyrone Tracy,RB,NYG,5.41,,5.41,,5.41,UNPROVEN,50.0,1,Handcuff,,26.8,2024_only*0.85+rel[UNPROVEN*0.92] [team_corr:NYG:0.72:NYG RB2 behind Skattebo],,,,,,,,,,,,,70,,,UNKNOWN
199,Audric Estime,RB,NO,5.07,,5.07,,5.07,UNPROVEN,44.1,1,Handcuff,,23.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,71,,,UNKNOWN
207,Sincere McCormick,RB,SF,4.73,,4.73,,4.73,UNPROVEN,53.5,0,Handcuff,,26.0,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,72,,,UNKNOWN
208,Samaje Perine,RB,CIN,4.71,,4.71,,4.71,UNPROVEN,65.4,1,Handcuff,,31.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,73,,,UNKNOWN
216,Zach Charbonnet,RB,SEA,4.5,,4.5,,4.5,UNPROVEN,64.6,1,Handcuff,,25.6,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0] [camp_research:PUP:0.45:ACL PUP — not a Week 1 back and likely misses the first 1–2 months. Price is the early-season SEA RB. Late-round stash only.],,,,,,,,PUP,133.1,-82.9,133.1,43.0,74,-31.0,-82.9,FADE
218,Jaylen Wright,RB,MIA,4.43,,4.43,,4.43,UNPROVEN,46.3,1,Handcuff,,23.4,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,75,,,UNKNOWN
248,Will Shipley,RB,PHI,3.57,,3.57,,3.57,UNPROVEN,60.4,0,Handcuff,,24.0,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,76,,,UNKNOWN
252,Kendre Miller,RB,NO,3.47,,3.47,,3.47,UNPROVEN,36.1,0,Handcuff,,24.2,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,77,,,UNKNOWN
285,Khalil Herbert,RB,SF,2.34,,2.34,,2.34,UNPROVEN,53.5,0,Handcuff,,28.4,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,78,,,UNKNOWN
286,Jordan Mims,RB,PHI,2.24,,2.24,,2.24,UNPROVEN,52.4,0,Handcuff,,27.2,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,79,,,UNKNOWN
